Id,Question,Essay,ta,cc,lr,gr,Overall
28,"Both government investment in public transport systems and reductions in public transport
ticket prices will help to reduce transport pollution greatly.
Do you agree or disagree with this statement?","Transport pollution is a big problem for many countries in the world today. In many cities it takes a
long time to get to places because of too many private vehicles on the roads. In addition all this
traffic emits fumes that create air pollution. Some people say that governments spending money on
public transport and reductions in public transport prices are the best way to resolve this problem. I
agree with this and also suggest there are other steps we can be take.
Firstly, investment in public transport infrastructure helps solve the problem of traffic pollution. If
there was a better, more reliable and developed public transport system then less people will drive
their cars. If less people drove then there would be much less pollution. For example in Tokyo there
is a very good transport system and not many people drive.
Furthermore, if the government subsidized or reduced the price of public transport then more
people would use it. For example, many commuting people in England drive because there is not
much different to the cost of public transport so they choose private cars because they are more
convenient.
Furthermore, in addition to investment in public transport and lower prices we need to investing
money in cleaner cars. Nowadays we have the technology for create electric cars that don’t make
pollution
In conclusion, a good public transports system is the best way to solve traffic pollution. The
transport system also needs to being cheaper. However, we also need to make the cars that we
use cleaner by using electricity and not oil.",7,7,7,7,7
29,"Both government investment in public transport systems and reductions in public transport
ticket prices will help to reduce transport pollution greatly.
Do you agree or disagree with this statement?","Pollution is a serious global problem although pollution which is caused by traffic is one which it
can be tackled. I would agree that the main way of doing this would be to invest in public transport
systems. However, there are also other ways.
People need to travel in order to go to work. Many people choose to travel to work in private cars
which cause traffic jams in many cities twice a day, but also more serious problem. The fumes from
these cars cause air pollution and this results in poor quality, harmful air in our cities. These fumes
are also a major cause for global warming. If people use public transport instead of driving then
this problem would be dramatically reduced.
Cost and convenience are big factors in people’s choice of transports. For this reason
governments need to invest money to ensure that they have a transport system which is more
effective than having private car. This means that the transport system is reliable and can be
transporting large numbers of people around the city cheap and fast. An example of a well
developed system is in Tokyo where millions of people rely on public transport there rather than
driving themselves.
An alternative solution to the problem is to encourage the use of electric cars. We already have the
technology to produce electric cars which they do not produce any fumes so do not result in air
pollution. Governments could encourage people to use these cars more.
In conclusion, public investment in subsidized public transport infrastructure is certainly vital in
order to stop pollution. However there are also some other alternatives with cleaner technology.",8,8,8,8,8
30,"Both government investment in public transport systems and reductions in public transport
ticket prices will help to reduce transport pollution greatly.
Do you agree or disagree with this statement?","Pollution is a serious global problem although that which is caused by traffic is one which can be
tackled. I would agree that the primary way of doing this would be to invest in the public transport
infrastructure. However, there are also other ways.
People need to commute in order to travel to work; and many people choose to travel to work in
private cars which cause gridlock in many cities twice a day, and which also give rise to more
serious problems. The fumes from these cars cause air pollution, resulting in poor quality, harmful
air in our cities. These fumes are also a major contributor to global warming. If people used public
transport instead of driving then this problem would be dramatically reduced.
Cost and convenience are big factors in people’s choice of transport. For this reason governments
need to invest money to ensure that they have a transport system which is more effective than

private car ownership. This means that the system is reliable and is capable of transporting large
numbers of people around the city cheaply and quickly. An example of a well developed system is
in Tokyo where millions of people rely on public transport rather than driving themselves.
An alternative solution to the problem is to encourage the use of electric cars. We already have the
technology to produce electric cars which do not produce any fumes so do not result in air
pollution. However, these cars are not as popular at present. The government could change this by
subsidizing car ownership through perhaps offering tax deductions when purchasing the cars. They
could also offer free parking in city centres for electric cars.
In conclusion, public investment in subsidized public transport infrastructure is certainly vital in
order to tackle pollution. However there are also some other alternatives with regards to cleaner
technology.",9,9,9,9,9
31,"The US film industry has too much influence on the film industry around the world.
Governments have a duty to invest money in their own film industries to protect and
develop their cultures.
To what extent do you agree or disagree with this statement?","I am agree and disagree with this statement that the American film industry has too much influence
on the film industry around the world. On the one hand I am agree because all countries have
Holywood films and everyone watches these movies. This is maybe bad for us because films from
my country are sometimes not popular as American films. Also American films are very much
money to make and many people do not have money for these films making in my country.
This mean that other people are not learning somethings about our country and places. this is not
good for everyone.
On the other hand I am not agree because American films are very good for watching. Films are
very exciting and I like action films. In American fims there is lots of action and special effects and
this is exciting for people to watch.
Also American films are English language films. Many people learn English. They will watch
American films and this can help them with their English. this is important because English is all
over the world speaking and it is important for us to learn English to speaking with other countries
and also to working maybe.
There are my country films also. i think that sometimes these not as much action because not
much money for the film. My country’s films are more quite with not big group of actors or special
efects.
Also I think that there are many culture in films that are good for learning about the country. maybe
they need money to make more of these films and can get money for fims to make more in the
cinema for watch.",5,5,5,5,5
32,"The US film industry has too much influence on the film industry around the world.
Governments have a duty to invest money in their own film industries to protect and
develop their cultures.
To what extent do you agree or disagree with this statement?","American films are very popular all over the world. Some people think this is a bad thing and that
governments should invest money in their film industries to protect and develop culture. I think
there are advantages to the American film industry and I also think governments should protect film
industries.
American film industry has a lot of money and films are expensive make. However, because they
have money the films are special and exciting and people enjoy films very much.
Going to the cinema and seeing action films or science fiction is amazing for lots or people. Also I
learn English from watching American films and I think this is good for the future.
But American films are all American culture and people all learn what is right for America. Because
this, young people now all want to be the same like American film stars and have the American life.
I think that this is bad for some countries that have different culture and some things maybe being
lost. All people want to dress the same and act the same.
In conclusion I think the government can support film industries in their country. This means many
people can learn traditional things and other values that are not in America films. This would be
very good for the people. Also many people can have work in films if there are films made in your
country. However, I think American films are good for seeing in the cinema and is exciting for
people.",6,6,6,6,6
33,"The US film industry has too much influence on the film industry around the world.
Governments have a duty to invest money in their own film industries to protect and
develop their cultures.
To what extent do you agree or disagree with this statement?","The dominant film industry in the world is American. Some people see this is a bad thing and think
that governments should invest money in their film industries to protect and develop their culture. I
would agree with this to an extent however I also think there are advantages to the American films.
The problem with American films is the culture there is in them. Many people see American films
and want to act in the same way and look the same as the stars. Many people have the same
American values and want wear the same clothes. This is a problem because of some traditional
values and customs are losing in different countries. Sometimes American studios make movies
about other countrys history and they change the stories. That way young people believe them and
forget their real history and culture.
For this reason some people say that governments should invest money in film industries in their
country. This means that people can see traditional values and culture and not only American.
On the other hand, American films are seen by people all over the world. The film studios have
very much money that they use to make spectacle films. The films look amazing on screen and

wacthing them is a way of escape from your life for a short time. Furthermore, many people get
exposed to English through American films and it can help people learn.
In conclusion, I think that there are some advantages to Hollywood films. They are amazing to see
in cinemas and exciting for everybody. But, films are a good way for keeping culture and it is good
for people to see different culture in films.",7,7,7,7,7
34,"The US film industry has too much influence on the film industry around the world.
Governments have a duty to invest money in their own film industries to protect and
develop their cultures.
To what extent do you agree or disagree with this statement?","The size of the American film industry is a problem for many people. American films are in nearly
every country on the planet and some people see that this has a negative effect on local culture
and tradition. I would agree that local governments should give money to domestic film makers but
also see some benefit to American films.
Modern films that are made by American studios cost a huge amount of money. This makes them
amazing to watch, offering the audience a chance of escape to their normal lives. Because of this,
going to the cinema is a good experience for many people. It is for this reason that American films
are so popular around the world.
However, some commentators only see negatives. Most American films have American culture and
values which may be difference to those of the country where the film is being shown in. The
audience may then model their behaviour on the characters in the film for example, in how they
act, their clothes or even the food they eat. This results in traditional values and cultures are lost.
One solution to this problem would be for the government to promote and give money to the
domestic film industry. If more films were made in the country then there would be more positive
role models from the viewers own country to see. This would result in local culture and traditions
are preserved.
To conclude, American films with a huge budget are amazing to watch. However, entertainment
should not be the only objective for films. They can also promote culture. Governments have a
responsibility to protect culture by giving money to their film industries.",8,8,8,8,8
35,"The US film industry has too much influence on the film industry around the world.
Governments have a duty to invest money in their own film industries to protect and
develop their cultures.
To what extent do you agree or disagree with this statement?","The dominance of the American film industry is a problem for many people. American films are
shown in nearly every country on the planet and some people see that this has a negative effect on
local culture and traditions. I would agree that local governments should subsidize domestic
film-makers but I also see some benefit to American films.
Modern films that are made by American studios cost a huge amount of money. This makes them
spectacular to watch, offering the audience a degree of escapism from their daily lives. Because of
this, going to the cinema becomes a highly engaging experience for many people. It is primarily for
this reason that American films are so popular around the world.
However, some commentators view this as a form of cultural imperialism. Most American films
promote American culture and values which may be at odds with those of the country in which the
film is being shown. The audience may then model their behaviour on the characters in the film -for
example in how they act, in their clothes or even in the food they eat. This results in traditional
values and cultures being lost.
One solution to this problem would be for the government to promote and subsidize the domestic
film industry. If more films were made domestically then there would be more positive role models
from the viewers’ own country to relate to. This would result in the preservation of local culture and
traditions- as long as the films are actually seen and appreciated by people!
To conclude, American films with a huge budget are amazing to watch. However, entertainment
should not be the only objective for films. Since they can and do also promote cultural norms,
whether directly or indirectly, governments have a responsibility to protect culture by subsidizing
their film industries.",9,9,9,9,9
36,"Today our communications, medicine and transport systems all depend on computer
technology. Our reliance on computer technology in these fields has created a dangerous
situation.
To what extent do you agree or disagree with this statement?","Today our communications, medicine and transport systems all depend on computer technology. I
am agree with this statement. Our lives are completely different now with computers and
everything is done with computers. Computers are in the home and at work and at school.
Computers make many things easy in life and they also make things faster. In the past there wasn’t
computers for everything and it was difficult. Lots of paper and much time for people before the
computer.
One disadvantage of computers is that some people waste time. Some people always on computer
surfing internet and play games. this not a good thing for health and people need to go outside and
play sports more than only computers. Some people may be addictive to playing computer games
and waste all their time this is big problem for some young people and there are no real life friends
just computer games and computers.
But i think that computers are good thing especially for work. All jobs need computers like in
communications medicine and transport. Computers have made these works much better for all
the people and businesses. However one bad thing with computers in work is maybe not everyone
good with computers and this maybe some problem for getting work and jobs in future for some
people. If you don’t know comuters then maybe you wouldn’t good job i think that computers
should teach in schools how to use.
In conclusion I think there are good and bad things about computers.",5,5,5,5,5
37,"Today our communications, medicine and transport systems all depend on computer
technology. Our reliance on computer technology in these fields has created a dangerous
situation.
To what extent do you agree or disagree with this statement?","Computers have changed the way we live and now many things depend on the computers.
Communications medicine and transport all rely of computers. For some people this is dangerous
situation. I think that it might be dangerous but that there are some things we can do to stop the
danger.
Many parts of our lives are now done by computers. Therefore many people do not know useful
skills that we had in the past because computers do everything for us. So without computers we
can’t communicating with other people and many hospital equipments need computers.
Our transport system also uses computers. This is a problem because if the computers have a
problem then many things would not worked very well or maybe not at all. As example, for
controlling airplanes arriving and leaving at airports computers are very essential and problems
with the computers can make terrible accidents.
But there are some things we can do for stopping the danger. One thing is computer security.
There are computer viruses and hackers that can stop the computers working. Therefore
government need to spend money on computer systems and networks so they are safety and
computer problems don’t happen.
Another is all computers work with electricity. If there was a problem with electricity then it might be
dangerous situation if the computers didn’t work. Therefore we need to make sure that the
electricity is reliable and we can use back up generators for important computers so they are
safety.
For conclusion there are some danger with computers. Many people are hackers and want to stop
computers or get information and computers can stop working.",6,6,6,6,6
38,"Today our communications, medicine and transport systems all depend on computer
technology. Our reliance on computer technology in these fields has created a dangerous
situation.
To what extent do you agree or disagree with this statement?","Computers have changed the way we live today. Many parts of our lives are depend on computers,
such as communications, medicine and transport. For many people this reliability is dangerous. I
understand that there is some danger but believe there are things we can do to reduce danger.
Many developments with technology have also caused dependment on computers. We use
computers to air traffic control and to control train systems. Modern hospitals rely on computers to
function and we are able to communicate instantly around the world. People do not have the skills
for this without computers.
The problem is that many of these systems can be attacked. Nowadays there are more hackers
who try and stop computers from working and also make viruses to make problems. This is a bad
situation for everybody who have a computer, but very bad for governments and big organisations.
Many newspapers write about cyber terror and it is possible that countries be attacked online.

However, there are things that the government can do to stop cyber terror. They can make
computers more secured and spend more money to protection.
In conclusion, I would agree that we depend on computers and we use them so much that we do
not live properly if all the computer systems did not work. However, I argue that the government
can be serious about stopping problems with security and spend more money then the situation is
not dangerous. The improvements computers have in our lives outweigh the potential dangers by
attacks.",7,7,7,7,7
39,"Today our communications, medicine and transport systems all depend on computer
technology. Our reliance on computer technology in these fields has created a dangerous
situation.
To what extent do you agree or disagree with this statement?","Computers have revolutionised the way how the world operates. Critics argue that these changes
mean we have too much dependence on computers which it may be dangerous. I would argue that
any danger can be addressed if we spend money on safety.
There is no doubt that technological developements mean that we need computers. Our transport,
medicine and communications systems are all now using computers and improved a great deal as
a result. The problem is that these systems can now be only operated by computers and can
therefore be attack.
There were rising levels of cyber attacks in recent years. Cyber terrorists may seek to cause
problems for a country by attacking its computer systems. Hackers and computer terrorists also
seek to get information about individuals, companies or governments. Finally there are an ever
growing number of viruses that can stop computers and networks from working well.
Governments and companies need to take these threats importantly. They can do this by spending
money on making our systems secure in order to lessen the risk of cyber attacks. Not only it is
important that our systems are security, but also that there is some backup in the event of any
equipment malfunctioned.
In conclusion, there is no doubt that we are reliant on computers and that these computer systems
are open to attack. However, I would argue that the improvements made to all of these systems
outweigh any dangers and that we need to focus on the security of our technology.",8,8,8,8,8
40,"Today our communications, medicine and transport systems all depend on computer
technology. Our reliance on computer technology in these fields has created a dangerous
situation.
To what extent do you agree or disagree with this statement?","Information technology has revolutionised the way in which the world operates. Critics argue that
this has resulted in a dependence on computers which may be dangerous. I would argue that any
danger can be addressed if adequate safety measures are implemented.
There is no doubt that recent technological developments have caused a reliance on computers.
Our transport, medicine and communications systems are all now completely computer-based -
and have become more efficient, more flexible and less costly as a direct result. These are
massive advantages. However, there is a downside: our infrastructure has become so complex
that it can now only be operated with the aid of IT and (if the computers which manage it either
break down or are attacked) then our society itself is potentially at risk.
There have been rising levels of cyber attacks in recent years. Cyber criminals try to become rich
at our expense. Hackers and computer activists seek to acquire information about individuals,
companies or governments for political reasons. Experts worry that cyber terrorists or foreign
powers may even seek to destabilize a whole country by attacking its computer systems. Finally
there is an ever-growing number of viruses that can make IT devices and networks function in
unpredictable ways.
Governments and companies need to take these threats seriously. They can do this by spending
money on making our systems secure in order to reduce the risk of such cyber attacks. Not only is
it important that our systems are secure from these threats, but also that there is some means of
backup in the event of any equipment malfunctioning. Machines can and do break.
In conclusion, there is no doubt that we are reliant on computers and that these computer systems
are at risk, whether from open attack or breakdown. However, I would argue that the improvements
to our quality of life brought by these systems outweigh any dangers and that we therefore need to
focus on the security and reliability of our technology.",9,9,9,9,9
41,"There is no doubt that globalisation has benefited the world by bringing together people,
business and nations. People who criticise it stand in the way of progress.
To what extent do you agree or disagree?
Give reasons for your answer and include any relevant examples from your own knowledge and
experience.","It has been argues that globalisation has benefited the world and that the people who criticise it
stand in the way of progress. I am agreeing and disagreeing with this statement. Globalisation is
good and there are benefits to the world. Many places more modern places and there are more
things you can buy and maybe more money for some people and jobs because of globalisation this
is good thing. But there are also bad things about globalisation with some things are the same and
not diffrent now but in the old style they are diffrent and for some people this is good thing. If things
are all the same then the world is not good place all places in the past very different but now
globalisations countrys have the same things you can buy all the time and people not different like
past. In the past people dress very different clothes and also shops and culture very different. But
now everyone sees on TV and movies the same and also the same shops in all countries. I was in
London and many same shops in my country. It is not so funny to go another country for holiday as
before because these reasons.
On the other hand globalisation changes are good and many people have more things now than in
the past which is good thing for some people who like when they can buy new things for them and
there family. also some countrys now are richer than in the past countrys so there are more jobs
and people have more money to buy cars and clotheses and house.",5,5,5,5,5
42,"There is no doubt that globalisation has benefited the world by bringing together people,
business and nations. People who criticise it stand in the way of progress.
To what extent do you agree or disagree?
Give reasons for your answer and include any relevant examples from your own knowledge and
experience.","Globalisation has changed most of the world and the lives of many people. Some people argue
that globalisation is unquestionable benefit to the planet and people who disagree stop progress. I
think this is true but there are some negative points to globalisation.
Globalisation has changed the way countries are interact with other countries. Because the way we
buy and sell is now very different and it is easy for a company to have business all over the world.

Morover many countries are more modern and we have simlar shops and brands everywhere.
people have access to good quality products everywhere. Also countries that were poor countries
in the past have these days the oportunity for getting money and improve lives of people. For
example is China. because of globalisation many people have better life than before and this
change is good.
On the other hand, globalisation has also caused problems. Because many countries now have the
same producs so many people and places look the same. If you go in any capital city in the world
people wearing the same cloth and there are lots of the same shops. However some people think
that this is bad and some traditional behaviours are been lost.
In conclusion I think that there are some sides to globalisation but the clothes people dress and the
shops they buy in are small. I was in Australia and the culture was different to my country. I think
the benefits and more money are more than the negatives.",6,6,6,6,6
43,"There is no doubt that globalisation has benefited the world by bringing together people,
business and nations. People who criticise it stand in the way of progress.
To what extent do you agree or disagree?
Give reasons for your answer and include any relevant examples from your own knowledge and
experience.","Globalisation has caused many changes over the world. For many these changes have been
positive and that any people who criticize globalisation are against progress. I agree with this up to
an extent but do believe that there are also some negative aspects for globalisation.
One of the biggest changes of globalisation is how countries do business. In other words, now it is
easier for countries to do business with other countries because international trade is now much
easier for both small and big companies. Because of this the lives of people have been changed a
lot. For example in China the economy is now much better than before. people now have better life
standards.
However, this change in business also causes problems. For example, companies now moved
around the world much easier. In other words if it is cheaper to make something in another country
then they move the factory. Therefore when the factory moves to another country then lots of
people lose jobs and work. As a result, this is a problem for countries that have high salaries.
Another problem is that globalisation has made everything more similar. All countries have the
same products now and people are wanting to wear the same clothes and act like similar ways to
other people. Many cities across the world look the same with the same shops. Traditional
behaviour has been lost.
In conclusion, there are certainly benefits to globalisation and countries have developed with lives
improved. However, I do think there are also negatives to it that we have to see",7,7,7,7,7
44,"There is no doubt that globalisation has benefited the world by bringing together people,
business and nations. People who criticise it stand in the way of progress.
To what extent do you agree or disagree?
Give reasons for your answer and include any relevant examples from your own knowledge and
experience.","Globalisation has caused major changes in our world in many ways. The largest of these is how
we make business and this has had a large impact in many countries. For some this has been
mostly positive. However, I believe there are two sides to the changes.
Nowadays it is much easier for countries to do business with them. This has resulted in a wider
range of services and products being available in nearly every country with many countries
benefitting a great deal. For example, in China, where many products are made in, the economy
has grown up enormously with a consequent rise in living standards.
However, there are also problems with this grow in international business. Possibly the biggest is
that is now much easier for companies to relocate. In other words, a company can now move its
factory to another country it will be cheaper to produce the goods. This is a big problem for
manufacturing workers in countries in which it is more expensive to produce goods and has
generally meant that people do not have safe employment.
Another drawback is do all countries benefit in the same way. Some countries find that they are
stuck in industries where there is only cheap labour in. Even in countries that have improved like
china, workers find themselves struggling to move from manufacturing jobs to better paid
service-based industries.
To conclude, it is clear that the modern globalised world is now very different to the past. Many
people have seen a rise in living standards because of this. However, others may feel less secure
or stuck at the same level.",8,8,8,8,8
45,"There is no doubt that globalisation has benefited the world by bringing together people,
business and nations. People who criticise it stand in the way of progress.
To what extent do you agree or disagree?
Give reasons for your answer and include any relevant examples from your own knowledge and
experience.","Globalisation has changed the face or our world in many ways. The most significant of these is
how business is carried out, and this has had a far reaching impact in many countries. For some
this has been chiefly positive. However, I believe there are two sides to this transformation.

Nowadays it is much easier for international trade to take place. This has resulted in a wider range
of services and products being available in nearly every country, with many countries benefiting a
great deal. For example, in China, where many goods are produced, the economy has improved
enormously with a consequent rise in living standards.
However, there are also problems with this growth in international business. Possibly the biggest is
that it is now much easier for companies to relocate. In other words, a company can now move its
production base to another country in which it will be cheaper to produce its goods. This is a big
problem for manufacturing workers in countries with high labour costs and has resulted in
decreased job security and widespread redundancies.
Another drawback is the extent to which countries can now develop. Some countries find
themselves caught in a cycle of providing cheap labour. Even in countries that have improved, like
China, workers find themselves struggling to move from manufacturing roles to better paid
service-based industries.
To conclude, it is clear that the modern globalised world looks very different to that of the past.
Many people have benefited from the corresponding rise in living standards. However, others have
lost, or risk losing, their jobs while their counterparts in other countries are trapped in repetitive,
underpaid jobs.",9,9,9,9,9
46,"A lot of money is spent nowadays searching for oil. As the world's oil resources will
eventually run out, it would be more logical to spend some of this money on developing
new sources of power, such as wind and solar.
To what extent do you agree or disagree?","Im not agreeing with this statement. oil is very useful for countries and also oil is very expense. if
country finds oil then the country has a lot of money selling oil to other countries. oil is used in cars
and making things and also to have electricity. Oil is used in every country in the world. Oil is from
fossil fuels and there is also gas and coal fossil fuels.
There are many countries better because of oil and where they are have money to spend on
improve the country.
The worlds oil resources will eventually run out but now there is still oil and we can find oil and
make money and improve country with selling oil. Already now there are alternatives to oil. There is
sun energy and wind. Also there are electric cars but electric cars not as good as oil cars. Oil cars
drive more further than electric cars and are also faster. In the future maybe more electric cars but
now oil cars are everywhere. Oil cars are using oil so we need find more oil. I have an oil car and
want to drive it continue with oil. In conclusion I think oil is necessary and it is good for money
spent searching for oil because people need oil in every job we do. We can’t make things from sun
and wind and we can’t selling wind and sun to other countries. When there is no more oil we can
use the sun and the wind for electricity but now we can find oil.",5,5,5,5,5
47,"A lot of money is spent nowadays searching for oil. As the world's oil resources will
eventually run out, it would be more logical to spend some of this money on developing
new sources of power, such as wind and solar.
To what extent do you agree or disagree?","A lot of the energy we use comes from oil. Nowadays people spend a lot of time and money
looking for new supplies of oil. Some people think that we need to look for alternative energy
because the oil will soon run out. I agree with this statement.
We depending on oil for our cars trucks trains and planes. Also a lot of our electricity comes by oil.
For this reason a large amount of moneys is spent looking for new oil supply. Oil is expensive.

Because of this if a country finds a source of oil then they would be able to develop their country
and sell it to other countries. many countries in the middle east are more development because
they sell oil to others.
Electric cars already exist and some people have used them already. At the moment they are not
as good as oil powered cars and we need to develop the technologies. We also need to develop
an alternative energy for planes. Without oil we will not be possible to fly.
However, in the future all the oil will be use and there will be no more energy from oil. Because of
this we need to develop new sources of power. We can already get electricity from the sun and
from the wind and also nuclear and some people think that we need to develop these instead of oil.
We need enough electricity for all of us.
In conclusion I agree that we need alternative energies and that we need to continue to get oil now",6,6,6,6,6
48,"A lot of money is spent nowadays searching for oil. As the world's oil resources will
eventually run out, it would be more logical to spend some of this money on developing
new sources of power, such as wind and solar.
To what extent do you agree or disagree?","Oil has changed our world over the last century. We use oil for energy and cars and manufactring.
nowadays a lot of money is spent looking for new sorces of oil. Some people think that this is
ilogical because the oil will one day run out and we need to look new sources of energy. I agree
with this point, not just for the money spent but also for the environment.
Oil is very expensive and because of it is expensive a lot of money is spended looking for it. If a
country finds oil then they would be able to make a lot of money by selling it to other countries.
This money is then be spent on improving the quality of life for people in that country. Some Arabic
countries have made lots of money through oil.
However, oil is not a sustainable energy. one day it will run out and we will have no more oil. For
this reason we should not be depend on it and instead we should develop sustainable energy such
as comes from wind or waves or sun.
Another reason to develop other resources is the environment. Global warming is caused by using
fossil fuels and we need to stop do this to save the planet. spending more money on oil searching
is not a good solution to environmental problems.
In conclusion, we need to stop searching for more oil and spend money developing sustainable
energy. This is clean for the environment and will not run out.",7,7,7,7,7
49,"A lot of money is spent nowadays searching for oil. As the world's oil resources will
eventually run out, it would be more logical to spend some of this money on developing
new sources of power, such as wind and solar.
To what extent do you agree or disagree?","Because oil is such a precious fuel that a great deal of money is spent looking for it. Some people
believe that this is a waste of our time as oil will not last forever therefore we should spend some of
this money advancing new power sources. I agree with this point and think that we should stop
focussing at oil supplies as not only it is not sustainable but it is also damaging to the environment.
Oil is not only very expensive but it is also one of the most commonly sold commodities on the
planet. For this reason many people have invest great sums of money in locating and extracting it.
Countries that have been able to find oil supplies have seen a huge rise in their GDP and a related
rise in their population’s living standards.
However, oil is not a renewable energy sources and one day the earth’s supplies will run out. For
this reason it is not logical for us to continue having dependence on oil and should instead devote
time and money on the development of sustainable alternatives. These alternatives already exist in
the form of wind, hydro and solar power but need to be invested to meet the global demand for
energy.
Another issue with our reliance on oil is the affect that it has on the environment. The burning of
fossil fuels like oil is one of the key causes of climate change. For this reason many people argue
that, rather than looking for new ways of getting oil, its use should be greatly limited.
In conclusion, there is no doubt that oil is valuable and has benefits for those that find it. However,
we need to focus on generating energy through cleaner, more sustainable methods.",8,8,8,8,8
50,"A lot of money is spent nowadays searching for oil. As the world's oil resources will
eventually run out, it would be more logical to spend some of this money on developing
new sources of power, such as wind and solar.
To what extent do you agree or disagree?","Because oil is such a precious fuel a great deal of money is spent looking for it. Some people
believe that this is counterproductive as oil is finite so therefore we should spend some of this
money advancing new power sources. I agree with this point and think that we should stop
focussing on oil supplies as it is both unsustainable an harmful to the environment.
Oil is not only very expensive but it is also one of the most commonly sold commodities on the
planet. For this reason many people invest great sums of money in locating and extracting it.
Furthermore, countries that have been able to find oil supplies have seen a huge rise in their GDP
and a corresponding rise in their population’s living standards.
However, oil is not a renewable energy sources and one day the earth’s supplies will be depleted.
For this reason it is not logical for us to continue being dependent on oil and should instead devote
time and money on the development of sustainable alternatives. These alternatives already exist in
the form of wind, hydro and solar power but need to be invested in to meet the global demand for
energy.

Another issue with our reliance on oil is the effect that it has on the environment. The burning of
fossil fuels like oil is one of the key causes of climate change. For this reason many people argue
that, rather than looking for new ways of extracting oil, its use should be greatly limited. They argue
that, if we do not address the problem now, many parts of the world will be uninhabitable in the
future.
In conclusion, despite the financial benefit for those that find supplies of oil, I would argue that we
need to end our reliance on it. The environmental problems that it causes are too great to be
ignored and, given that it will one day be depleted anyway, we need to start using alternatives now.",9,9,9,9,9
51,"In many countries people have to pay for medical care, but some think that it should be a
free service provided by the government.
To what extent do you agree or disagree?","In many countries people have to pay for medical care but many others believe that medical care
should be provided free by the government. I am agree with this and i think that the goverment
should be pay for medical care for everybody. In my country you can go to the doctor or the
hospital and you do not need pay any money to anybody. The doctor is good quality and the
hospitals too with big rooms for the sick people but clean and with enough of nurses. i think that
this is good thing. not all people have money to pay but all people need have good health. I think
that goverments need to pay for everybody to be health. If somebody is sick and they are poor
then they would die if there is no free medical care. This is not a good thing for the people and also
for the goverment. On the other hand there are some people with lots of money and they pay for
privat hospital. maybe this is good for them and they have better hospital. Privat hospital you have
single room and many doctors and nurses. Privat hospitals are maybe good for rich people who
people have money to pay for them. Hospitals that are privat are private companies and this not
good thing for all. If you are sick then you will go to hospital. I think that hospitals need help sick
people and this is most important. Private companies are business and business only want to
make money most important not care about sick people. I think that hospitals like this is bad for
people health.",5,5,5,5,5
52,"In many countries people have to pay for medical care, but some think that it should be a
free service provided by the government.
To what extent do you agree or disagree?","Healthcare has improved a lot in the last fifty years but it is also more expensive for new
treatments. In some countries the government gives everyone free healthcare but in other
countries people pay for it. Many people believe that the best option is for the government to
provide free health care.
One of the biggest problems with government free health care is the big cost. It is very expensive
for the government to pay for the health for all. The money for this needs to be raised with taxes.
Some people don’t like this because they pay for health that they don’t use. They think that people

should pay alone. On the other hand, many people argue that free healthcare is human right for
everybody
If the government don’t give free healthcare then poor people in the country would not to have
treats and medicine that they need. For many people this situation would be very bad for the
country and it means the country is not equal. Some people think that the government has
responsibe for caring for the people.
In conclusion, this is a very difficult situation. Many people have argued both sides recently in
America but nobody agrees if government healthcare is good or not. Personally speaking, I think
that free healthcare is the best and everybody should have treatment for sickness or bad health.
the government should give healthcare and also pay can pay for healthcare if they don’t want
provate healthcare in some countries.",6,6,6,6,6
53,"In many countries people have to pay for medical care, but some think that it should be a
free service provided by the government.
To what extent do you agree or disagree?","There are many countries where people need to pay for their healthcare themselves. Some people
think that the government should provide healthcare for everybody. I do think that the government
should make it so that everyone has acess to healthcare but there are some other things to
consider.
The biggest problem with governments paying for healthcare is that it is expensive. This is
because the government has to pay a lot of money for healthcare and the money has to be rased
from people with tax. As a result many people do not support this idea as they think they are
paying too much tax for health services they do not use. Therefore this has caused much
disccussion in America recently. Before people in America used private health insurance.
Another method of paying for healthcare is to make it compulsary for people to pay for health
insurance. Moreover the government could check that people have money to pay for health
insurance.
The government has a responsibility to help poor people who can not pay for medical bills. in other
words. If somebody in a country is unhealthy and sick because they can’t pay and everyone else
has access to treatment because they can pay then this shows a high level of inequaity and needs
to be addressed by the government.
In conclusion, I agree that healthcare can be available to everybody, either with the government
paying or through compulsary medical insurance with the government providing insurance for
people that cannot pay.",7,7,7,7,7
54,"In many countries people have to pay for medical care, but some think that it should be a
free service provided by the government.
To what extent do you agree or disagree?","In many countries healthcare is provided privately whereas in others it is provided by the
government for free. Many people think that the latter should be adopted across the world. I would
agree with this opinion and would argue that universal access to healthcare should be seen like a
human right.
Perhaps the biggest problem with government provided healthcare is the cost. Because an efficient
healthcare service costs a great deal of money to provide, governments need to raise extra funds
in order for covering costs. The only way of doing this is with collecting taxes by the population.
However, people who support a state funded system argue that everybody should have access to
medical treatment. Furthermore the quality of the care and treatment provided should be the same
for everybody. If individuals are forces to pay for their own treatment then this excludes the poor
from access to help and only the wealthy are able to benefit.
This is an issue that has divided opinion in a number of countries. For example America recently
started a state funded healthcare system and it caused widespread protests from half of the
population. However, I would agree that the government should provide healthcare to it’s citizens
as it is in many European countries.
In conclusion I believe that although there are high costs involved, universal health care should be
a priority for governments. It is evident that not everybody is in agreement with this but I think that it
is unethical for people to suffer because they cannot afford treatment for a medical condition.",8,8,8,8,8
